episode,timestep,reward
1845,1846000,822.5
1847,1848000,822.5
1849,1850000,821.5
1851,1852000,821.0
1853,1854000,822.0
1855,1856000,822.0
1857,1858000,820.5
1859,1860000,821.0
1861,1862000,822.0
1863,1864000,823.0
1865,1866000,821.0
1867,1868000,821.5
1869,1870000,819.0
1871,1872000,820.5
1873,1874000,820.5
1875,1876000,819.5
1877,1878000,820.5
1879,1880000,820.5
1881,1882000,817.0
1883,1884000,820.5
1885,1886000,820.0
1887,1888000,820.0
1889,1890000,823.5
1891,1892000,823.0
1893,1894000,823.0
1895,1896000,820.5
1897,1898000,820.5
1899,1900000,825.25
1901,1902000,823.0
1903,1904000,821.5
1905,1906000,821.75
1907,1908000,816.5
1909,1910000,814.0
1911,1912000,818.0
1913,1914000,823.5
1915,1916000,823.5
1917,1918000,825.5
1919,1920000,822.0
1921,1922000,823.5
1923,1924000,824.0
1925,1926000,825.5
1927,1928000,825.5
1929,1930000,824.0
1931,1932000,822.5
1933,1934000,823.5
1935,1936000,822.5
1937,1938000,825.0
1939,1940000,823.5
1941,1942000,823.5
1943,1944000,825.5
1945,1946000,824.5
1947,1948000,821.5
1949,1950000,825.5
1951,1952000,824.0
1953,1954000,826.0
1955,1956000,824.5
1957,1958000,826.0
1959,1960000,820.5
1961,1962000,825.5
1963,1964000,821.5
1965,1966000,824.0
1967,1968000,823.0
1969,1970000,823.5
1971,1972000,823.0
1973,1974000,822.5
1975,1976000,826.5
1977,1978000,821.5
1979,1980000,824.0
1981,1982000,823.0
1983,1984000,823.5
1985,1986000,823.5
1987,1988000,825.0
1989,1990000,823.25
1991,1992000,824.0
1993,1994000,823.0
1995,1996000,823.5
1997,1998000,825.0
1999,2000000,819.0
